time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1518.7726928836876,9.6506619e-01,1.2704467e-02,4.8321066e-03,209745,331.90740,52.92014,6.1112958e+02,4.9304681e+00,6.3983649e+02,2.4134521e+00,5.1361951e+02,6.7614660e+00,0,,,,,331.90740,5.1021115e-03,52.92014,5.2258912e-03,-2.0654362e-02,-7.8948371e-02
1518.7740818059876,9.6217954e-01,1.2687991e-02,4.8321406e-03,209746,331.91011,52.92216,6.1037781e+02,4.9240732e+00,6.3821777e+02,2.4112048e+00,5.1208319e+02,6.7526970e+00,0,,,,,331.91011,5.0913612e-03,52.92216,5.2216258e-03,-1.7036049e-02,-8.2447022e-02
1518.7754707282868,9.7379076e-01,1.2763944e-02,4.8321746e-03,209747,331.90711,52.92867,6.1555157e+02,4.9535499e+00,6.4177051e+02,2.4189775e+00,5.1826282e+02,6.7931199e+00,0,,,,,331.90711,5.0557149e-03,52.92867,5.2141021e-03,-2.0918719e-02,-7.9558060e-02
1518.7768596510516,9.7650051e-01,1.2703600e-02,4.8322091e-03,209748,331.91650,52.93231,6.1569922e+02,4.9301310e+00,6.3764679e+02,2.4118147e+00,5.1970496e+02,6.7610044e+00,0,,,,,331.91650,5.0592679e-03,52.93231,5.1755589e-03,-2.0978905e-02,-7.6965183e-02
1518.778248573351,9.7032660e-01,1.2735581e-02,4.8322431e-03,209749,331.90622,52.92356,6.1125580e+02,4.9425426e+00,6.4139752e+02,2.4259973e+00,5.1641913e+02,6.7780247e+00,0,,,,,331.90622,5.0951554e-03,52.92356,5.2359868e-03,-1.6511915e-02,-1.0309739e-01
1518.7796374956504,9.6787030e-01,1.2701005e-02,4.8322771e-03,209750,331.90791,52.92234,6.1248047e+02,4.9291244e+00,6.3686694e+02,2.4112844e+00,5.1511188e+02,6.7596231e+00,0,,,,,331.90791,5.0752051e-03,52.92234,5.2103507e-03,-2.1327972e-02,-7.6070905e-02
1518.7810264184152,9.7370064e-01,1.2719068e-02,4.8323115e-03,209751,331.91680,52.93693,6.1507428e+02,4.9361339e+00,6.3876917e+02,2.4127851e+00,5.1821484e+02,6.7692361e+00,0,,,,,331.91680,5.0791102e-03,52.93693,5.1867235e-03,-2.1149509e-02,-7.6843590e-02
1518.7824153407144,9.6269518e-01,1.2709155e-02,4.8323455e-03,209752,331.90502,52.91976,6.0949738e+02,4.9322867e+00,6.4300378e+02,2.4202640e+00,5.1235760e+02,6.7639604e+00,0,,,,,331.90502,5.1004952e-03,52.91976,5.2352240e-03,-1.7425273e-02,-8.6978361e-02
1518.7838042630135,9.6320677e-01,1.2714598e-02,4.8323795e-03,209753,331.90660,52.92616,6.0978357e+02,4.9343996e+00,6.3953735e+02,2.4127083e+00,5.1262988e+02,6.7668576e+00,0,,,,,331.90660,5.1167714e-03,52.92616,5.2251625e-03,-1.9810149e-02,-8.4896065e-02
1518.7851931853122,9.8133755e-01,1.2700431e-02,4.8324135e-03,209754,331.91650,52.93036,6.1778308e+02,4.9289012e+00,6.3607043e+02,2.4064922e+00,5.2227930e+02,6.7593174e+00,0,,,,,331.91650,5.0526652e-03,52.93036,5.1581692e-03,-1.7723866e-02,-8.3707064e-02
1518.7865821080775,9.8399460e-01,1.2724882e-02,4.8324480e-03,209755,331.90736,52.92495,6.1893298e+02,4.9383907e+00,6.3822620e+02,2.4192286e+00,5.2369342e+02,6.7723308e+00,0,,,,,331.90736,5.0407397e-03,52.92495,5.1497212e-03,-1.9024815e-02,-8.5921064e-02
1518.7879710303775,9.7435743e-01,1.2724884e-02,4.8324820e-03,209756,331.91426,52.92985,6.1500665e+02,4.9383912e+00,6.4073260e+02,2.4184113e+00,5.1856439e+02,6.7723317e+00,0,,,,,331.91426,5.0800689e-03,52.92985,5.1917974e-03,-1.8580129e-02,-8.2940236e-02
1518.7893599526763,9.7348481e-01,1.2714143e-02,4.8325160e-03,209757,331.90381,52.92170,6.1489075e+02,4.9342227e+00,6.4111267e+02,2.4150198e+00,5.1809998e+02,6.7666154e+00,0,,,,,331.90381,5.0575896e-03,52.92170,5.2013984e-03,-1.9379959e-02,-8.6550139e-02
1518.7907488749745,9.6205443e-01,1.2714623e-02,4.8325500e-03,209758,331.91510,52.92419,6.0986359e+02,4.9344087e+00,6.4325085e+02,2.4172988e+00,5.1201660e+02,6.7668705e+00,0,,,,,331.91510,5.1088496e-03,52.92419,5.2280268e-03,-1.7741960e-02,-8.0476031e-02
1518.7921377977393,9.8717868e-01,1.2775997e-02,4.8325844e-03,209759,331.90562,52.92692,6.2039386e+02,4.9582272e+00,6.3876794e+02,2.4262469e+00,5.2538800e+02,6.7995343e+00,0,,,,,331.90562,5.0271102e-03,52.92692,5.1762932e-03,-1.9344881e-02,-8.3168954e-02
1518.7935267200394,9.7904801e-01,1.2713276e-02,4.8326184e-03,209760,331.91024,52.92789,6.1653125e+02,4.9338861e+00,6.3908344e+02,2.4128261e+00,5.2106079e+02,6.7661538e+00,0,,,,,331.91024,5.0622043e-03,52.92789,5.1712808e-03,-1.9607244e-02,-8.4707581e-02
1518.7949156423385,9.7168201e-01,1.2721609e-02,4.8326524e-03,209761,331.90920,52.92555,6.1338379e+02,4.9371200e+00,6.4188916e+02,2.4172025e+00,5.1714050e+02,6.7705889e+00,0,,,,,331.90920,5.0743697e-03,52.92555,5.2064029e-03,-1.8751673e-02,-8.4941663e-02
1518.7963045646377,9.6626371e-01,1.2713471e-02,4.8326864e-03,209762,331.91177,52.92617,6.1188348e+02,4.9339619e+00,6.4147876e+02,2.4127693e+00,5.1425684e+02,6.7662578e+00,0,,,,,331.91177,5.0967056e-03,52.92617,5.2178567e-03,-1.8029302e-02,-8.1093423e-02
1518.797693486937,9.7168088e-01,1.2714732e-02,4.8327204e-03,209763,331.90282,52.91548,6.1261334e+02,4.9344511e+00,6.4230420e+02,2.4159088e+00,5.1713989e+02,6.7669287e+00,0,,,,,331.90282,5.0749984e-03,52.91548,5.2148420e-03,-2.1540271e-02,-8.3824962e-02
1518.8004713320013,9.7427541e-01,1.2739182e-02,4.8327888e-03,209765,331.90531,52.92392,6.1412866e+02,4.9439402e+00,6.4428522e+02,2.4173174e+00,5.1852075e+02,6.7799411e+00,0,,,,,331.90531,5.0709192e-03,52.92392,5.2160048e-03,-1.9685661e-02,-9.5436923e-02
1518.8018602543004,9.6771663e-01,1.2725317e-02,4.8328228e-03,209766,331.91967,52.92809,6.1196283e+02,4.9385591e+00,6.4752582e+02,2.4181008e+00,5.1503009e+02,6.7725620e+00,0,,,,,331.91967,5.1076161e-03,52.92809,5.2029658e-03,-1.8765775e-02,-6.7337953e-02
1518.8032491765996,9.7277576e-01,1.2722601e-02,4.8328568e-03,209767,331.91532,52.92692,6.1405994e+02,4.9375048e+00,6.3837860e+02,2.4161096e+00,5.1772260e+02,6.7711167e+00,0,,,,,331.91532,5.0831526e-03,52.92692,5.1925150e-03,-2.1308169e-02,-8.0761038e-02
1518.8046380988983,9.9250108e-01,1.2739405e-02,4.8328908e-03,209768,331.91010,52.92696,6.2211102e+02,4.9440265e+00,6.3980603e+02,2.4145675e+00,5.2822064e+02,6.7800598e+00,0,,,,,331.91010,5.0184983e-03,52.92696,5.1372540e-03,-1.8296853e-02,-8.8324949e-02
1518.8060270211981,9.7703630e-01,1.2719219e-02,4.8329248e-03,209769,331.91655,52.92642,6.1497461e+02,4.9361920e+00,6.4198999e+02,2.4147887e+00,5.1999011e+02,6.7693167e+00,0,,,,,331.91655,5.0876783e-03,52.92642,5.1876400e-03,-1.8423982e-02,-7.9770386e-02
1518.8074159439636,9.7037798e-01,1.2723294e-02,4.8329593e-03,209770,331.90732,52.93310,6.1309479e+02,4.9377742e+00,6.4130603e+02,2.4194241e+00,5.1644647e+02,6.7714858e+00,0,,,,,331.90732,5.0870040e-03,52.93310,5.2034892e-03,-2.2399180e-02,-8.3863862e-02
1518.8088048662623,9.7658902e-01,1.2731223e-02,4.8329933e-03,209771,331.89754,52.93154,6.1575385e+02,4.9408512e+00,6.3909729e+02,2.4149296e+00,5.1975208e+02,6.7757058e+00,0,,,,,331.89754,5.0661652e-03,52.93154,5.2058306e-03,-1.8446716e-02,-8.3483100e-02
1518.8101937885606,9.7475666e-01,1.2713918e-02,4.8330273e-03,209772,331.90898,52.92101,6.1543890e+02,4.9341354e+00,6.3900732e+02,2.4129915e+00,5.1877686e+02,6.7664952e+00,0,,,,,331.90898,5.0632330e-03,52.92101,5.1884106e-03,-1.8935353e-02,-8.3849527e-02
1518.81158271086,9.7114056e-01,1.2734639e-02,4.8330612e-03,209773,331.91167,52.91861,6.1304132e+02,4.9421768e+00,6.4204529e+02,2.4179180e+00,5.1685236e+02,6.7775230e+00,0,,,,,331.91167,5.0973985e-03,52.91861,5.2166991e-03,-1.7299121e-02,-8.7374546e-02
