time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1703.0227338511752,9.9867094e-01,1.6896853e-02,7.6716277e-04,342408,1930.65727,464.57219,4.0092975e+02,6.0017886e+00,1.3878906e+03,2.6309400e+00,6.0166602e+02,1.0179792e+01,0,,,,,1930.65727,6.7166733e-03,464.57219,1.0552783e-02,1.2740264e-02,3.6382198e-02
1703.0241227393556,9.9083108e-01,1.6899318e-02,7.6716265e-04,342409,1930.66571,464.56864,3.9850043e+02,6.0026636e+00,1.3868784e+03,2.6289160e+00,5.9694275e+02,1.0181276e+01,0,,,,,1930.66571,6.7618792e-03,464.56864,1.0629683e-02,6.7458092e-03,3.4772869e-02
1703.0255116275364,9.9278051e-01,1.6873619e-02,7.6716254e-04,342410,1930.64841,464.57946,3.9860428e+02,5.9935355e+00,1.3831713e+03,2.6265001e+00,5.9811725e+02,1.0165793e+01,0,,,,,1930.64841,6.7408606e-03,464.57946,1.0584057e-02,8.3986772e-03,3.2457869e-02
1703.0269005157163,9.6542364e-01,1.6887620e-02,7.6716242e-04,342411,1930.66819,464.57693,3.8914981e+02,5.9985089e+00,1.3911549e+03,2.6342402e+00,5.8163562e+02,1.0174230e+01,0,,,,,1930.66819,6.9184285e-03,464.57693,1.0852983e-02,8.4956186e-03,4.0748797e-02
1703.028289403896,9.8742902e-01,1.6869992e-02,7.6716230e-04,342412,1930.64336,464.56391,3.9670395e+02,5.9922481e+00,1.3860583e+03,2.6278689e+00,5.9489313e+02,1.0163610e+01,0,,,,,1930.64336,6.7676017e-03,464.56391,1.0671635e-02,1.2219501e-02,3.5885718e-02
1703.029678292077,1.0074521e+00,1.6891539e-02,7.6716219e-04,342413,1930.65046,464.58127,4.0365237e+02,5.9999003e+00,1.3827913e+03,2.6226478e+00,6.0695642e+02,1.0176590e+01,0,,,,,1930.65046,6.6686799e-03,464.58127,1.0449406e-02,1.2549875e-02,3.6710612e-02
1703.0310671802583,9.9589944e-01,1.6991260e-02,7.6716207e-04,342414,1930.65218,464.58666,3.9988174e+02,6.0353217e+00,1.3845427e+03,2.6340806e+00,5.9999628e+02,1.0236669e+01,0,,,,,1930.65218,6.7472071e-03,464.58666,1.0623845e-02,1.1691274e-02,3.5574872e-02
1703.0324560684383,9.9112546e-01,1.6874373e-02,7.6716195e-04,342415,1930.64977,464.58448,3.9774310e+02,5.9938030e+00,1.3849613e+03,2.6286476e+00,5.9712012e+02,1.0166248e+01,0,,,,,1930.64977,6.7545134e-03,464.58448,1.0576422e-02,9.6158925e-03,3.6862746e-02
1703.0338449566182,1.0040288e+00,1.6867936e-02,7.6716184e-04,342416,1930.64492,464.56842,4.0252838e+02,5.9915166e+00,1.3828586e+03,2.6206679e+00,6.0489392e+02,1.0162370e+01,0,,,,,1930.64492,6.6731223e-03,464.56842,1.0501157e-02,1.2457435e-02,4.0380962e-02
1703.035233844799,9.9747539e-01,1.6895315e-02,7.6716172e-04,342417,1930.64942,464.57304,3.9949942e+02,6.0012426e+00,1.3860325e+03,2.6291127e+00,6.0094574e+02,1.0178865e+01,0,,,,,1930.64942,6.7325034e-03,464.57304,1.0577993e-02,6.2613534e-03,4.1440632e-02
1703.0366227329794,1.0135041e+00,1.6876929e-02,7.6716160e-04,342418,1930.65019,464.57451,4.0601010e+02,5.9947109e+00,1.3812083e+03,2.6200898e+00,6.1060254e+02,1.0167788e+01,0,,,,,1930.65019,6.6214488e-03,464.57451,1.0401953e-02,9.2348382e-03,3.4749467e-02
1703.0380116211597,9.8003548e-01,1.6880246e-02,7.6716149e-04,342419,1930.65859,464.57340,3.9370447e+02,5.9958892e+00,1.3865515e+03,2.6295474e+00,5.9043878e+02,1.0169786e+01,0,,,,,1930.65859,6.8304320e-03,464.57340,1.0742012e-02,1.5470427e-02,3.2549623e-02
1703.0394005093406,9.7634685e-01,1.6877817e-02,7.6716137e-04,342420,1930.65516,464.57322,3.9304462e+02,5.9950266e+00,1.3881387e+03,2.6350288e+00,5.8821649e+02,1.0168324e+01,0,,,,,1930.65516,6.8375492e-03,464.57322,1.0743930e-02,8.7056020e-03,4.1567504e-02
1703.040789397521,1.0091774e+00,1.7013306e-02,7.6716125e-04,342421,1930.65834,464.57375,4.0456931e+02,6.0431528e+00,1.3857269e+03,2.6369829e+00,6.0799585e+02,1.0249951e+01,0,,,,,1930.65834,6.7132935e-03,464.57375,1.0517002e-02,7.1815583e-03,3.1404238e-02
1703.0421782857009,9.9760205e-01,1.6861364e-02,7.6716114e-04,342422,1930.65235,464.57836,4.0059567e+02,5.9891825e+00,1.3808518e+03,2.6180806e+00,6.0102203e+02,1.0158411e+01,0,,,,,1930.65235,6.7076785e-03,464.57836,1.0530290e-02,1.0107902e-02,3.8745947e-02
1703.043567173939,9.6448207e-01,1.6850011e-02,7.6716108e-04,342423,1930.65704,464.56960,3.8835754e+02,5.9851503e+00,1.3862300e+03,2.6242912e+00,5.8106836e+02,1.0151571e+01,0,,,,,1930.65704,6.9112331e-03,464.56960,1.0875410e-02,1.0275420e-02,2.8125079e-02
1703.0449560621198,9.8964739e-01,1.6865432e-02,7.6716096e-04,342424,1930.64834,464.57721,3.9745795e+02,5.9906278e+00,1.3821992e+03,2.6223786e+00,5.9622961e+02,1.0160862e+01,0,,,,,1930.64834,6.7545353e-03,464.57721,1.0611961e-02,7.8904331e-03,3.8854208e-02
1703.0463449503009,9.9468726e-01,1.6916465e-02,7.6716085e-04,342425,1930.65405,464.57987,3.9914575e+02,6.0087543e+00,1.3885140e+03,2.6282544e+00,5.9926599e+02,1.0191607e+01,0,,,,,1930.65405,6.7599169e-03,464.57987,1.0578890e-02,6.9212695e-03,3.1848244e-02
