#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
flare_tpeak_1,1518.8354482595205,9.429969463781163e-05,8.427527677667968e-05,flare_tpeak_1,days
flare_fwhm_1,0.005370882429275574,0.0003146335013230967,0.0002891102575037722,flare_fwhm_1,days
flare_ampl_1,1.933208447718416,0.062367922020725164,0.05586820652437541,flare_ampl_1,rel. flux
flare_tpeak_2,1518.8437333209954,0.0003921715435808437,0.0003496240447020682,flare_tpeak_2,days
flare_fwhm_2,0.01639991396409967,0.0009705446614056701,0.0010071644419466404,flare_fwhm_2,days
flare_ampl_2,0.8958036748394748,0.04147658873158644,0.046654897512398374,flare_ampl_2,rel. flux
ln_err_flux_TIC_1403938,-3.380904610273442,0.058298824473691724,0.06125601835496797,$\log{\sigma_\mathrm{TIC_1403938}}$,log rel. flux
