#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
flare_tpeak_1,0.8400148076242318,0.010196852455630956,0.010691876050679228,flare_tpeak_1,days
flare_fwhm_1,0.019390596413838435,0.013466374580696754,0.01396644623396964,flare_fwhm_1,days
flare_ampl_1,1.4968291533936853,0.3239977679237338,0.3367841533972755,flare_ampl_1,rel. flux
ln_err_flux_TIC_1403938,-5.000002417103027,3.6935928040549015e-06,1.823618474006139e-06,$\log{\sigma_\mathrm{TIC_1403938}}$,log rel. flux
