time,flux,
1683.3546403689695,5.9736206e+02,
1683.3560292617483,5.8611597e+02,
1683.3574181545275,6.0515454e+02,
1683.3588070473058,5.9654742e+02,
1683.360195940084,6.0247876e+02,
1683.361584832863,5.9616534e+02,
1683.3629737256417,6.0086359e+02,
1683.364362618421,6.0749243e+02,
1683.3657515111415,6.0199323e+02,
1683.3671404039198,6.0112494e+02,
1683.36852929664,6.0207855e+02,
1683.3699181894187,5.9742657e+02,
1683.3713070821398,5.9709631e+02,
1683.3726959749185,5.9771887e+02,
1683.3740848676396,5.9952234e+02,
1683.3754737603601,6.0380261e+02,
1683.3768626530803,5.9768292e+02,
1683.3782515458593,6.0444305e+02,
1683.3796404385805,5.9653693e+02,
1683.3810293313006,5.9842432e+02,
1683.3824182240207,5.9487769e+02,
1683.3838071167418,6.0767181e+02,
1683.3851960094037,5.9961902e+02,
1683.3865849021242,5.9350177e+02,
1683.3879737948457,5.9577472e+02,
1683.3893626875658,6.1038043e+02,
1683.3907515802277,5.9820245e+02,
1683.3921404729483,5.9204926e+02,
1683.3935293656102,5.9662225e+02,
1683.3949182583312,5.8706512e+02,
1683.3963071509943,5.9733203e+02,
1683.397696043656,6.0161273e+02,
1683.399084936376,5.8645264e+02,
1683.400473829039,5.9342273e+02,
1683.4018627217008,6.0323981e+02,
1683.4032516143632,5.9517151e+02,
1683.4046405070264,5.9379047e+02,
1683.4060293996884,6.0205035e+02,
1683.4074182923503,6.0037872e+02,
1683.4088071850126,6.1114917e+02,
1683.410196077676,5.8199707e+02,
1683.4115849703387,5.9492181e+02,
1683.4129738630006,6.0593817e+02,
1683.4143627556048,6.0793085e+02,
1683.4157516482667,6.0036761e+02,
1683.4171405409286,6.0113885e+02,
1683.4185294335336,5.9994318e+02,
1683.419918326196,5.9927777e+02,
1683.4213072187997,6.0542969e+02,
1683.422696111404,6.0143439e+02,
1683.4240850040658,5.9567639e+02,
1683.4254738966695,5.9555859e+02,
1683.4268627892745,5.9700232e+02,
1683.4282516818791,6.0549451e+02,
1683.429640574541,5.9804462e+02,
1683.4310294671452,6.2078033e+02,
1683.432418359749,6.0028491e+02,
1683.433807252353,6.0403571e+02,
1683.4351961449581,6.0149298e+02,
1683.4365850375036,6.0436810e+02,
1683.4379739301073,5.9411316e+02,
1683.439362822712,5.9749188e+02,
1683.440751715316,6.0080304e+02,
1683.442140607862,6.0162134e+02,
1683.4435295004666,5.9835718e+02,
1683.4449183930708,5.9365466e+02,
1683.4463072856163,6.0470905e+02,
1683.44769617822,5.9890161e+02,
1683.4490850707662,6.0415131e+02,
1683.4504739633705,6.0047351e+02,
1683.4518628559165,6.0092010e+02,
1683.453251748463,6.0444836e+02,
1683.4546406410084,6.0116589e+02,
1683.456029533612,6.0894025e+02,
1683.457418426158,5.9789948e+02,
1683.458807318704,6.0005090e+02,
1683.4601962112504,5.8573737e+02,
1683.4615851037963,6.0207697e+02,
1683.4629739963418,6.0582605e+02,
1683.4643628888873,5.9612421e+02,
1683.4657517814342,6.1053247e+02,
1683.4671406739803,6.0088696e+02,
