#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
flare_tpeak_1,1699.5527214307958,0.0001473084012104664,0.00016167364651664684,flare_tpeak_1,days
flare_fwhm_1,0.007007220099498229,0.0005865408788253389,0.0006371335467193649,flare_fwhm_1,days
flare_ampl_1,0.24838117542418262,0.010494625308102412,0.01102126312245863,flare_ampl_1,rel. flux
ln_err_flux_TIC_233547261_flare1,-4.355947996835836,0.05739178989964344,0.06142792044840473,$\log{\sigma_\mathrm{TIC_233547261_flare1.csv}}$,log rel. flux
