#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
flare_tpeak_1,1699.554335956001,0.0025286569261879777,0.00032676366095074627,flare_tpeak_1,days
flare_fwhm_1,0.0033053280670968374,0.001467892628612756,0.0008803232513397699,flare_fwhm_1,days
flare_ampl_1,0.20563600363013462,0.004306300059439966,0.021383477962699182,flare_ampl_1,rel. flux
flare_tpeak_2,1699.551201454329,0.00015596059938616236,0.002928113782672881,flare_tpeak_2,days
flare_fwhm_2,0.0024638762124538196,0.000361894341567305,0.002367933088549037,flare_fwhm_2,days
flare_ampl_2,0.2176757844880926,0.040550560781260736,0.023831449799299714,flare_ampl_2,rel. flux
ln_err_flux_TIC_233547261_flare1,-4.466264325739198,0.06497551816786462,0.06530696549802517,$\log{\sigma_\mathrm{TIC_233547261_flare1.csv}}$,log rel. flux
